DId,ItemName,ItemContent,OtherInfo
27,断路器的异常处理,"1、断路器在运行中发生下列情况，应立即汇报调度和工区，将其停用。\r\na.瓷套有严重的破损和放电现象；\r\nb.SF6断路器中气体严重泄漏，已低于闭锁压力；\r\nc.断路器内部有爆裂声；\r\nd.断路器引线严重发热。\r\ne.其它严重缺陷。\r\n2、断路器SF6压力低报警时，断路器仍可运行，应立即汇报调度和工区，安排断路器SF6气体补气。当发出SF6压力低闭锁信号时，闭锁断路器分合闸，应立即汇报调度及工区，将该断路器停役后处理。\r\n3、当断路器发生合闸闭锁时，经现场检查确认后，立即汇报调度和工区。如断路器在分闸位置，将断路器改为检修后处理。弹簧机构，断路器由于合闸弹簧未储能造成的合闸闭锁，应对储能电机电源、储能电机、储能弹簧行程开关进行检查，设法恢复。如因电机损坏或交流电源失去不能电动储能时，必要时可进行手动储能。\r\n4、当断路器发生分闸闭锁时，经现场检查确认后，立即汇报调度和工区。如断路器在分闸位置，将断路器改为检修后处理。如断路器在合闸位置，应设法转移负荷，用上一级断路器将该开关停运。\r\n5、断路器拒合时应检查：\r\na.远方操作条件是否满足。\r\nb.有无保护动作信号，出口自保持继电器是否复归。\r\nc.机构储能或SF6气体压力是否正常。\r\nd.操作电源是否正常。\r\ne.控制回路有无明显异常，合闸线圈是否冒烟或烧焦。\r\n经检查无异常或故障排除后，可再合一次，如仍合不上立即汇报调度和工区。\r\n6、断路器拒分时应检查：\r\na.远方操作条件是否满足。\r\nb.SF6气体压力是否正常。\r\nc.操作电源是否正常。\r\nd.控制回路有无明显异常，分闸线圈是否冒烟或烧焦。\r\n经检查无异常或故障排除后，可再分一次，如仍分不开立即汇报调度和工区。 \r\n7、当SF6断路器发生爆炸或严重漏气等事故，接近设备时应尽量选择上风侧，",
31,刀闸及其操作机构的配置情况,"110kV刀闸均为南京电气厂生产的GW4-110W型，其操作机构为CJ11-11型。\r\n35kV刀闸均为长沙开关厂生产的GW5-40.5W型，其操作机构为CS17-G型。\r\n10KV刀闸均为仪征电瓷厂生产的GN19-10CQ型，其操作机构为CS6-1型。",
32,刀闸的巡视检查项目,"1、	瓷瓶清洁，应无破损、裂纹，无放电痕迹。\r\n2、	分合闸到位，合闸时触头接触良好，应无发热现象。\r\n3、	引线应无松动、摆动、烧伤断股现象，线夹无开裂发热现象。\r\n4、	传动机构的可见定位固定螺丝无脱落。\r\n5、	隔离开关机械位置指示正确、三相一致，监控屏上隔离开关位置指示与现场实际位置相符。\r\n6、	操作机构箱、端子箱应封堵良好，无积水受潮。 \r\n7、	定期用红外测温仪进行测温。",
33,隔离开关的运行与操作,"1、	停电操作，在断路器拉开后，应先拉非电源侧隔离开关，后拉电源侧隔离开关，送电时反之。\r\n2、	主变停役时，先拉主变侧隔离开关，后拉母线侧隔离开关，送电时反之。\r\n3、操作隔离开关前，应检查相应断路器在分闸位置，严禁带负荷拉合隔离开关。\r\n4、隔离开关合闸前，应检查回路中地刀均已拉开，地线全部拆除，严禁带地线合闸。\r\n5、合接地闸刀前，应检查相应隔离开关已拉开，并验明无电后进行。\r\n6、隔离开关操作后，应检查其辅助接点的切换正确，监控系统等有关信号指示正确。\r\n7、当发生带负荷拉隔离开关时，如触头刚脱离时发生弧光应迅速合上，若已拉开，不允许再合上。当发生带负荷合隔离开关时，若在产生弧光前，应迅速拉开，若已合上不允许再拉开。\r\n8、隔离开关，合闸操作后应检查其触头接触深度适当，接触良好。\r\n9、系统发生接地、谐振以及有雷电活动时禁止进行刀闸的拉合操作。\r\n10、空母线运行时禁止操作电压互感器高压侧刀闸。\r\n11、手动合闸时，应迅速而果断，合闸终了不要用力过猛。\r\n12、手动分闸开始时应慢而谨慎，当动静触头分离时应迅速果断，拉闸终了时动作要缓慢。\r\n13、操作完毕，防误闭锁装置应锁好。",
34,刀闸的异常处理,"1、运行中发现隔离开关出现下列情况时，应立即汇报调度和工区，停电处理：\r\na.隔离开关支持或转动瓷瓶损伤或放电。\r\nb.隔离开关动静触头或连接头发热或金具损坏。\r\nc.隔离开关在操作过程中，拉不开或合不到位。\r\nd.隔离开关操作连杆断裂，支持瓷瓶断裂。\r\n2、隔离开关电动操作失灵时，首先应该核对设备名称编号，检查相应断路器及隔离开关状态，判断隔离开关操作条件是否满足，严禁不经检查即进行解锁操作。在确认操作正确后。必要时可以申请解锁操作。\r\n3、运行中如发现隔离开关接触不良、桩头松动开裂等现象，应立即进行红外测温，并汇报调度及工区，减少负荷或停电处理，停电前应加强监视。",
41,互感器的巡视检查,"1、	引线连结部位无过热现象，引线弧度适中，定期用红外测温仪对桩头进行测温。\r\n2、	内部无异声。\r\n3、	端子箱内应封堵完好，箱门关闭严密，无进水受潮。\r\n4、瓷套部分应清洁，无破损、裂纹及放电痕迹。\r\n5、油位指示正常，无渗漏油。",
42,下列情况对互感器进行特殊巡视,"a.故障跳闸后。\r\nb.新投运、检修试验后。\r\nc.高温季节、恶劣天气，高峰负荷时。\r\nd.存在缺陷时。",
43,互感器的运行与操作,"1、	运行中流变二次不得开路。\r\n2、	运行中压变二次不得短路。\r\n3、	压变启用应先操作高压侧，后操作低压侧；停用时操作顺序相反",
44,互感器的异常处理,"1、互感器出现下列情况时，应立即汇报调度和工区，将其退出运行：\r\na.引线连接部位严重发热。\r\nb.内部有异声。\r\nc.压变高压或低压熔丝连续熔断。\r\nd.冒烟或异味。\r\n2、压变发生异常可能发展成故障时，处理原则如下：\r\na.不得用近控方法拉开压变一次闸刀；\r\nb.可用断路器切断所在母线的电源，再将压变隔离。\r\n3、压变一次或二次保险熔断后，若经检查未发现故障点允许换上相同规格熔丝后试送一次，若熔丝再次熔断后不允许再送，应汇报调度及工区，将相关保护停用后处理。",
51,电容器的巡视,"1、电容器、放电线圈无异常振动或响声，各连接头无发热现象。\r\n2、电容器无渗液，放电线圈无渗油。\r\n3、套管及支持瓷瓶完好，无破损裂纹及放电痕迹。\r\n4、电容器内部无放电声，外壳无变形及鼓肚现象。\r\n5、电容器支架上无杂物，特别要检查支架顶部无鸟窝等异物。\r\n6、干抗表面涂层无变色、龟裂、脱落或爬电痕迹。\r\n7、避雷器应垂直和牢固，瓷瓶无破损裂纹及放电痕迹。\r\n8、油位正常，无渗漏油。\r\n9、安全栅栏应关闭严密，警示牌齐全符合要求。",
52,电容器的运行与操作,"1、电容器在运行中电流不得超过额定电流的130％，三相电流应基本一致，各相电流差一般不得超过±5％。\r\n2、电容器运行电压一般不得大于其额定电压的10％，具体按照厂家说明书执行。\r\n3、正常运行时，值班员严禁进入遮栏触及运行中的电容器外壳。\r\n4、电容器从运行状态拉闸后应经过充分放电（不少于5分钟）才能进行合闸运行。\r\n5、电容器停用时应经放电线圈充分放电后才可合接地刀闸。\r\n6、电容器进行检修时，当电容器从电网切除后，虽然已自动经放电线圈放电，但在人体接触其导电部分前仍需用接地棒接地放电。",
53,电容器的异常及事故处理,"1、电容器遇有下列情况，应立即汇报调度及工区，将电容器停用：\r\na.电容器、放电线圈有严重异声。\r\nb.电容器严重漏油，放电线圈严重漏油。\r\nc.电容器、引线接头等严重发热。\r\nd.电容器外壳明显膨胀变形。\r\ne.瓷套有严重的破损和放电。\r\nf.电容器的配套设备明显损坏，危及安全运行者。\r\nd.母线电压超过电容器额定电压的1.1倍，电流超过额定电流的1.3倍，三相电流不平衡超过5％时。\r\n2、电容器保护动作断路器跳闸后，应立即进行现场检查，查明保护动作情况，并汇报调度和工区。电流保护动作未经查明原因并消除故障，不得对电容器送电。系统电压波动致使电容器跳闸，5分钟后允许试送。\r\n3、电容器自投切装置动作后，应检查系统电压情况，若确实符合动作条件，汇报调度，听候处理。 \r\n4、电容器或放电线圈发生爆炸着火时，应立即拉开断路器及隔离开关，用合适灭火器或干燥的沙子进行灭火，同时立即汇报调度和工区。",
61,避雷器的运行要求,各电压等级母线不应无避雷器运行，雷雨季节线路无避雷器者不应开路运行。,
62,避雷器和避雷针的正常巡视检查项目,"1、	避雷器的上下引线接头应牢固，无松动、断线现象；\r\n2、	瓷质应清洁，无破损、裂纹和放电痕迹，法兰应无裂纹；\r\n3、	避雷器计数器密封应良好，动作应正确。雷击放电动作后应检查动作指示并记录，对其它设备有无闪烙痕迹；\r\n4、	接地线应牢固可靠、无腐蚀；\r\n5、	避雷器泄漏电流应不超过规定值；\r\n6、	避雷针应无倾斜，各焊接部位应牢固，基础无下沉。",
63,避雷器的异常处理,"1、	避雷器上下引线接头松脱或折断应尽快处理；\r\n2、	接地不良、阻值过大应停用，尽快处理；\r\n3、	避雷器瓷套管破裂放电时，应及时停用更换；\r\n4、	避雷器内部有放电声，应立即停运，予以更换；\r\n5、泄漏电流超过规定值，应立即汇报，申请停用。",
64,运行注意事项,"1、严格执行雷季运行方式。\r\n2、在雷雨天气若需要巡视室外高压设备时，应穿绝缘靴，并不得靠近避雷器和避雷针。\r\n3、氧化锌避雷器泄漏电流异常升高，超过10％，应加强监视；超过20％，应立即汇报调度和工区，进行带电测试，必要时停电处理。",
